,fullname,case_number,location,dx,left_x,right_x,lower_y,top_y,center_x,center_y,center_lat,center_lon,startdate,enddate
100,101-east_siberian_sea-100km-2020-03-30,101,east_siberian_sea,100km,-1237500.0,-1137500.0,1712500.0,1812500.0,-1187500.0,1762500.0,70.56254646642313,168.97046877601952,2020-03-30,2020-03-31
101,102-east_siberian_sea-100km-2011-07-13,102,east_siberian_sea,100km,-1362500.0,-1262500.0,1812500.0,1912500.0,-1312500.0,1862500.0,69.18913105282786,170.1722759888369,2011-07-13,2011-07-14
102,103-east_siberian_sea-100km-2010-09-29,103,east_siberian_sea,100km,-962500.0,-862500.0,1212500.0,1312500.0,-912500.0,1262500.0,75.69185601903224,170.85835977647508,2010-09-29,2010-09-30
103,104-east_siberian_sea-100km-2017-04-17,104,east_siberian_sea,100km,-1412500.0,-1312500.0,1612500.0,1712500.0,-1362500.0,1662500.0,70.34470455681678,174.33629374197946,2017-04-17,2017-04-18
104,105-east_siberian_sea-100km-2018-08-09,105,east_siberian_sea,100km,-1087500.0,-987500.0,1137500.0,1237500.0,-1037500.0,1187500.0,75.51782426482085,176.14319901441013,2018-08-09,2018-08-10
105,106-greenland_sea-100km-2017-09-13,106,greenland_sea,100km,712500.0,812500.0,-2062500.0,-1962500.0,762500.0,-2012500.0,70.32123899433267,-24.24920441040138,2017-09-13,2017-09-14
106,107-greenland_sea-100km-2021-05-06,107,greenland_sea,100km,812500.0,912500.0,-2112500.0,-2012500.0,862500.0,-2062500.0,69.57314507210914,-22.306205054907643,2021-05-06,2021-05-07
107,108-greenland_sea-100km-2018-06-10,108,greenland_sea,100km,737500.0,837500.0,-1812500.0,-1712500.0,787500.0,-1762500.0,72.3157169715812,-20.92450174492116,2018-06-10,2018-06-11
108,109-greenland_sea-100km-2022-07-28,109,greenland_sea,100km,612500.0,712500.0,-1287500.0,-1187500.0,662500.0,-1237500.0,77.09488198221362,-16.837472625676384,2022-07-28,2022-07-29
109,110-greenland_sea-100km-2017-08-05,110,greenland_sea,100km,562500.0,662500.0,-1112500.0,-1012500.0,612500.0,-1062500.0,78.71389489924283,-15.037815903582244,2017-08-05,2017-08-06
110,111-greenland_sea-100km-2012-06-23,111,greenland_sea,100km,612500.0,712500.0,-1162500.0,-1062500.0,662500.0,-1112500.0,78.08849234046849,-14.225963898751797,2012-06-23,2012-06-24
111,112-greenland_sea-100km-2012-04-04,112,greenland_sea,100km,862500.0,962500.0,-1537500.0,-1437500.0,912500.0,-1487500.0,73.99140668711225,-13.473158112731143,2012-04-04,2012-04-05
112,113-greenland_sea-100km-2014-08-10,113,greenland_sea,100km,612500.0,712500.0,-1087500.0,-987500.0,662500.0,-1037500.0,78.6720275213724,-12.439562018846544,2014-08-10,2014-08-11
113,114-greenland_sea-100km-2022-09-19,114,greenland_sea,100km,587500.0,687500.0,-1012500.0,-912500.0,637500.0,-962500.0,79.37206285945503,-11.481991354748091,2022-09-19,2022-09-20
114,115-greenland_sea-100km-2010-07-28,115,greenland_sea,100km,787500.0,887500.0,-1237500.0,-1137500.0,837500.0,-1187500.0,76.64418678475745,-9.806092759897089,2010-07-28,2010-07-29
115,116-greenland_sea-100km-2006-06-16,116,greenland_sea,100km,537500.0,637500.0,-862500.0,-762500.0,587500.0,-812500.0,80.76347686311696,-9.13017648227869,2006-06-16,2006-06-17
116,117-greenland_sea-100km-2008-09-01,117,greenland_sea,100km,587500.0,687500.0,-887500.0,-787500.0,637500.0,-837500.0,80.30608534729656,-7.72182580013097,2008-09-01,2008-09-02
117,118-greenland_sea-100km-2015-04-30,118,greenland_sea,100km,837500.0,937500.0,-1212500.0,-1112500.0,887500.0,-1162500.0,76.5582575023497,-7.640406761026755,2015-04-30,2015-05-01
118,119-greenland_sea-100km-2022-07-23,119,greenland_sea,100km,762500.0,862500.0,-1012500.0,-912500.0,812500.0,-962500.0,78.41046704435409,-4.830419958289938,2022-07-23,2022-07-24
119,120-greenland_sea-100km-2009-03-09,120,greenland_sea,100km,787500.0,887500.0,-1037500.0,-937500.0,837500.0,-987500.0,78.08849234046849,-4.698680517299437,2009-03-09,2009-03-10
120,121-greenland_sea-100km-2012-04-06,121,greenland_sea,100km,812500.0,912500.0,-1062500.0,-962500.0,862500.0,-1012500.0,77.76663966021515,-4.573921259900861,2012-04-06,2012-04-07
121,122-greenland_sea-100km-2007-03-27,122,greenland_sea,100km,787500.0,887500.0,-962500.0,-862500.0,837500.0,-912500.0,78.60259887368134,-2.454031674527073,2007-03-27,2007-03-28
122,123-greenland_sea-100km-2015-05-13,123,greenland_sea,100km,837500.0,937500.0,-1012500.0,-912500.0,887500.0,-962500.0,77.95694517206176,-2.3215305898327165,2015-05-13,2015-05-14
123,124-greenland_sea-100km-2016-08-11,124,greenland_sea,100km,712500.0,812500.0,-862500.0,-762500.0,762500.0,-812500.0,79.74039879126664,-1.8183029644518331,2016-08-11,2016-08-12
124,125-greenland_sea-100km-2013-05-21,125,greenland_sea,100km,887500.0,987500.0,-1037500.0,-937500.0,937500.0,-987500.0,77.47838283313693,-1.4878675288277772,2013-05-21,2013-05-22
125,126-greenland_sea-100km-2009-03-14,126,greenland_sea,100km,1087500.0,1187500.0,-787500.0,-687500.0,1137500.0,-737500.0,77.5329599885405,12.042575142884989,2009-03-14,2009-03-15
